incident_id,date,time,province,district,road_type,latitude,longitude,weather,visibility_meters,temperature_c,wind_speed_kmh,lighting,road_condition,surface_material,number_of_lanes,speed_limit_kmh,road_curvature,road_gradient,median_type,shoulder_available,num_vehicles,vehicle_types,vehicle_avg_age_years,overloading_detected,driver_age,helmet_usage,seatbelt_usage,mobile_phone_suspected,alcohol_drug_suspected,speed_at_impact_kmh,evasive_action,accident_cause,collision_type,impact_point,num_collisions,traffic_volume_per_hour,peak_off_peak,distance_to_hospital_km,expected_response_min,fatalities,serious_injuries,minor_injuries,property_damage_level,severity
PK-2024-00001,2024-03-15,08:30,Punjab,Lahore,Urban,31.5204,74.3587,Clear,800,28,5,Daylight,Dry,Asphalt,4,60,Straight,Flat,Physical,Yes,2,Car;Car,8,No,34,Yes,Yes,No,No,45,Braking,Signal Violation,Side-swipe,Side,1,1200,Peak,3,8,0,0,1,Minor,Low
PK-2024-00002,2024-01-22,23:15,Sindh,Karachi,Highway,24.8607,67.0011,Fog,80,18,10,Unlit,Wet,Asphalt,3,110,Gentle,Flat,Painted,No,3,Motorcycle;Truck;Car,12,Yes,22,No,No,Yes,No,95,None,Speeding,Head-on,Front,2,400,Off-peak,15,25,1,2,0,Severe,Critical
PK-2024-00003,2024-06-10,14:45,KPK,Peshawar,Rural,34.0151,71.5249,Dust Storm,150,42,45,Daylight,Dry,Gravel,2,80,Sharp,Downhill,None,No,1,Motorcycle,6,No,19,No,Not Applicable,No,No,70,None,Weather,Fixed-object,Front,1,150,Off-peak,28,40,0,1,2,Moderate,Medium
PK-2024-00004,2024-04-05,17:30,Punjab,Faisalabad,Urban,31.4504,73.1350,Cloudy,500,33,12,Daylight,Dry,Asphalt,6,50,Straight,Flat,Physical,Yes,4,Car;Auto-rickshaw;Motorcycle;Car,10,No,45,Yes,Yes,No,No,35,Braking,Human Error,Rear-end,Rear,1,1800,Peak,2,5,0,0,2,Minor,Low
PK-2024-00005,2024-07-28,02:00,Balochistan,Quetta,Highway,30.1798,66.9750,Clear,900,22,8,Unlit,Dry,Asphalt,2,100,Gentle,Downhill,Painted,No,2,Truck;Bus,15,Yes,38,No,Not Applicable,Yes,No,85,None,Overloading,Rollover,Side,3,80,Off-peak,45,60,2,3,1,Total,Critical
PK-2024-00006,2024-02-14,11:20,Punjab,Rawalpindi,Urban,33.6844,73.0479,Rain,250,16,20,Daylight,Wet,Asphalt,4,60,Gentle,Flat,Physical,Yes,2,Car;Motorcycle,6,No,28,Yes,No,Yes,No,50,Swerving,Signal Violation,Side-swipe,Side,1,900,Peak,5,10,0,1,1,Moderate,Medium
PK-2024-00007,2024-09-01,06:45,Sindh,Hyderabad,Highway,25.3924,68.3736,Heavy Rain,100,29,35,Dawn-Dusk,Flooding,Asphalt,3,110,Straight,Flat,Painted,Yes,5,Car;Truck;Bus;Motorcycle;Auto-rickshaw,11,Yes,50,No,Yes,No,No,40,Braking,Weather,Multi-vehicle pileup,Front,4,600,Peak,8,15,0,2,4,Severe,High
PK-2024-00008,2024-11-18,19:30,Punjab,Multan,Urban,30.1575,71.5249,Clear,700,24,6,Street-lit,Dry,Concrete,2,40,Straight,Flat,None,Yes,1,Motorcycle,4,No,17,No,Not Applicable,No,No,55,None,Human Error,Fixed-object,Front,1,500,Off-peak,12,18,0,1,0,Moderate,Medium
PK-2024-00009,2024-05-20,13:00,KPK,Islamabad,Highway,33.6844,73.0479,Clear,1000,35,8,Daylight,Dry,Asphalt,4,120,Gentle,Uphill,Physical,Yes,2,Car;Car,3,No,40,Yes,Yes,No,No,110,None,Speeding,Rear-end,Rear,1,700,Peak,4,7,0,0,0,Minor,Low
PK-2024-00010,2024-08-08,21:45,Punjab,Gujranwala,Rural,32.1945,74.1875,Fog,50,30,3,Unlit,Muddy,Asphalt,2,80,Sharp,Downhill,None,No,2,Motorcycle;Truck,14,Yes,25,No,No,No,No,75,None,Wrong Side,Head-on,Front,2,100,Off-peak,20,30,1,1,1,Severe,High
